数据类型	系统		"筛选规则
"
物料	ECS	规则：	"（物料编码：开头为10，11，12，13，14，15，16，17）
且
（“工厂”=1000，1001，1002，1003，1004，1005）且（生产仓储地点≠（''或0） 或 外部采购仓库地点≠（''或0））"
物料	APS	规则：	（物料编码：开头为10，11，12，13，14，15）
物料	PCT	规则：	（物料编码：开头为10，11，12，13，14，15）
物料	SRM	规则：	（物料编码：开头为10，11，12，13，14，15）
物料	MES	规则：	（物料编码：开头为10，11，12，13，14，15）
物料	WMS原材料	规则：	（物料编码：开头为10，11，12，13，14，15）
物料	WMS配件	规则：	（物料编码：开头为11，12，13，15）且“是否服务配件”=X
物料	TMS	规则：	（物料编码：开头为10，11，1512,1513）
物料	WMS立库	规则：	"（物料编码：开头为10，1512，1513，159902）
或“是否关键件”=X
或“是否附件”=X
或“是否独立包装”=X"
物料	CSM	规则：	"（物料编码：开头为10且“项目阶段”=TR5,验证阶段,TR6,ADCP,发布阶段,TR7,结项阶段）
或（物料编码：90，1703开头）
或“是否服务配件”=X
或“是否服务虚拟件”=X"
物料	CEM	规则：	"（物料编码：开头为10且“项目阶段”=TR5,验证阶段,TR6,ADCP,发布阶段,TR7,结项阶段）
或（物料编码：开头为90，1703，1512,1513）
或“是否服务配件”=X
或“是否服务虚拟件”=X
或（物料编码开头为11且“是否独立包装”=X）"
物料	EPS	规则：	（物料编码：开头为15，16）
物料	电商	规则：	"（物料编码：开头为10且“项目阶段”=TR5,验证阶段,TR6,ADCP,发布阶段,TR7,结项阶段）
或（物料编码开头为1512,1703）"
物料	LTC	规则：	"（物料编码：开头为10，17020000）
或“是否服务配件”=X
或“是否独立包装”=X"
物料	数据中台	规则：	"（物料编码：开头为10，11，1512，1513）
或（物料编码：开头为12,13,15 且 “是否服务配件”=X）"
物料	FIKS平台	规则：	（物料编码：开头为10）
物料	DCS	规则：	（物料编码：开头为10，11，1512,1513）
物料	DMS	规则：	"（物料编码：开头为10 且“项目阶段”=TR5,验证阶段,TR6,ADCP,发布阶段,TR7,结项阶段）
或（物料编码：开头为91，1512,1513，1701,1702,159902,159903）
或“是否独立包装”=X"

		
		
		
		
		
		
		
		
		
		
		
		
		
